,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number,Cellulose,Hemicellulose,Lignin,Temp,Pressure,Equivalance mass ratio,Steam to biomass mass ratio,Superficial gas velocity,H2,CO,CO2,CH4,Lower heating value,Char yield,tar yield,,,,,,
122,0.44,0.08,0.48,750.00,1.00,0.20,0.00,0.18,16.59,36.10,36.83,10.49,5.60,27.10,13.50,,,,,,
123,0.44,0.08,0.48,850.00,1.00,0.20,0.00,0.20,22.96,39.29,28.48,9.27,6.60,17.70,12.30,,,,,,
124,0.50,0.25,0.25,800.00,1.00,0.32,0.00,0.19,12.50,35.05,42.66,9.78,4.90,3.90,9.30,,,,,,
125,0.50,0.25,0.25,716.00,1.00,0.21,0.00,0.17,17.65,32.71,39.76,9.88,5.50,27.70,7.80,,,,,,
126,0.50,0.25,0.25,761.00,1.00,0.30,0.00,0.18,19.42,31.80,40.05,8.74,5.10,10.30,5.80,,,,,,
127,0.50,0.25,0.25,800.00,1.00,0.22,0.00,0.19,23.91,34.78,31.96,9.35,6.50,13.40,6.20,,,,,,
128,0.50,0.25,0.25,850.00,1.00,0.23,0.00,0.20,28.19,36.51,27.18,8.11,6.80,10.50,4.90,,,,,,
129,0.50,0.25,0.25,800.00,1.00,0.25,0.00,0.19,23.43,33.41,34.34,8.82,5.70,15.70,4.70,,,,,,
130,0.50,0.25,0.25,800.00,1.00,0.27,0.00,0.19,20.10,32.75,38.21,8.93,5.30,13.80,5.10,,,,,,
131,0.50,0.25,0.25,800.00,1.00,0.30,0.00,0.19,20.44,33.33,37.71,8.52,5.20,7.70,5.70,,,,,,
132,0.50,0.25,0.25,800.00,1.00,0.31,0.00,0.19,17.85,32.28,41.21,8.66,4.70,9.10,5.60,,,,,,
133,0.44,0.08,0.48,800.00,1.00,0.22,0.00,0.20,18.78,36.59,35.61,9.02,5.50,28.90,9.70,,,,,,
134,0.44,0.08,0.48,800.00,1.00,0.23,0.00,0.20,18.34,36.43,35.70,9.54,5.60,25.80,10.00,,,,,,
135,0.44,0.08,0.48,800.00,1.00,0.26,0.00,0.20,16.95,37.29,36.80,8.96,5.50,20.20,9.90,,,,,,
136,0.44,0.08,0.48,800.00,1.00,0.27,0.00,0.20,18.40,36.56,36.08,8.96,5.40,19.30,9.80,,,,,,
137,0.44,0.08,0.48,814.00,1.00,0.28,0.00,0.20,12.37,36.83,41.40,9.41,5.00,8.50,9.70,,,,,,
138,0.29,0.29,0.42,800.00,1.00,0.24,0.00,0.56,25.58,31.72,34.31,8.38,9.77,40.00,25.10,,,,,,
139,0.29,0.29,0.42,800.00,1.00,0.24,0.00,0.56,26.63,32.85,32.89,7.63,9.75,42.00,25.10,,,,,,
140,0.29,0.29,0.42,800.00,1.00,0.29,0.00,0.69,23.72,28.48,39.42,8.37,9.15,28.00,9.99,,,,,,
141,0.29,0.29,0.42,850.00,1.00,0.24,0.00,0.58,29.59,33.37,29.61,7.43,10.06,34.00,9.61,,,,,,
142,0.29,0.29,0.42,850.00,1.00,0.29,0.00,0.72,26.08,31.05,34.60,8.27,9.69,22.00,8.30,,,,,,
143,0.29,0.29,0.42,850.00,1.00,0.35,0.00,0.86,21.97,28.05,41.91,8.06,8.80,21.00,6.23,,,,,,
144,0.29,0.29,0.42,900.00,1.00,0.17,0.00,0.46,30.59,41.25,19.70,8.45,11.53,23.00,6.23,,,,,,
145,0.29,0.29,0.42,900.00,1.00,0.24,0.00,0.61,27.75,37.85,26.24,8.16,10.69,24.00,9.11,,,,,,
146,0.29,0.29,0.42,900.00,1.00,0.24,0.00,0.61,28.14,37.70,25.92,8.24,10.74,24.00,8.19,,,,,,
147,0.29,0.29,0.42,900.00,1.00,0.29,0.00,0.75,25.20,32.74,33.28,8.78,10.00,19.00,8.84,,,,,,
148,0.29,0.29,0.42,900.00,1.00,0.35,0.00,0.90,22.77,30.94,38.18,8.12,9.27,20.00,8.84,,,,,,
